,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,O_long,O_lat,D_long,D_lat
1513,Donostialdea,Donostialdea,Hernani,Andoain,Coche conductor,22:00,22,Andoain,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27604.31,-1.9472823015024197,43.259298259419204,-2.033693,43.256347
1514,Bidasoa,Donostialdea,Irun,Oiartzun,Coche conductor,07:00,22,Irun,2,3,2,2 adultos con niño(s),2,5,1,1,2021,23379.76,-1.785803650477232,43.33712335784281,-2.033693,43.256347
1515,Donostialdea,Donostialdea,Donostia/San Sebastian,Lezo,Autobús interurbano,19:00,22,Lezo,2,2,1,Otros hogares sin niños,2,4,1,2,2021,21779.42,-1.9698553320987584,43.32443911474632,-2.033693,43.256347
1516,Donostialdea,Donostialdea,Pasaia,Oiartzun,Coche conductor,07:30,22,Oiartzun,2,3,1,Otros hogares con niños,2,5,1,1,2021,23571.46,-1.9175316079486773,43.32456383641015,-2.033693,43.256347
1517,Urola Kosta       ,Donostialdea,Orio,Usurbil,Coche conductor,21:00,22,Usurbil,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25571.56,-2.12761146024622,43.283366333721894,-2.033693,43.256347
1518,Tolosaldea,Donostialdea,Villabona,Errenteria,Coche conductor,05:15,22,Villabona,2,3,2,Otros hogares sin niños,2,3,1,1,2021,24143.435,-2.0522598135391683,43.19049928778922,-2.033693,43.256347
1519,Urola Kosta       ,Donostialdea,Zarautz,Donostia/San Sebastian,Coche conductor,10:00,21,Zarautz,1,3,1,2 adultos,1,6,1,1,2021,28540.41,-2.163371256202587,43.287675539204955,-2.033693,43.256347
1520,Donostialdea,Donostialdea,Lasarte-Oria,Errenteria,Moto,17:30,99,,2,2,2,Otros hogares sin niños,1,4,1,1,2021,24596.86,-2.0202330102529107,43.2515218421453,-2.033693,43.256347
1521,Donostialdea,Donostialdea,Urnieta,Donostia/San Sebastian,Coche conductor,22:00,22,Donostia/San Sebastian,1,2,1,Hogar de una persona,1,5,1,1,2021,23874.8,-1.994230040899527,43.245536843446416,-2.033693,43.256347
1522,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,-2.4205299123924826,43.04070473276148,-2.033693,43.256347
1523,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,08:00,23,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,23763.435,-1.8449152662058317,43.29757931842655,-2.033693,43.256347
1524,Bidasoa,Donostialdea,Hondarribia,Lezo,Coche conductor,05:30,22,Hondarribia,2,2,1,Otros hogares sin niños,1,5,1,1,2021,28586.01,-1.8010104203044228,43.365351332939476,-2.033693,43.256347
1525,Donostialdea,Donostialdea,Lezo,Donostia/San Sebastian,Coche conductor,11:15,22,Errenteria,2,3,2,Otros hogares con niños,1,5,1,1,2021,24898.36,-1.8558993037682652,43.32747455725501,-2.033693,43.256347
1526,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,07:50,22,Errenteria,2,3,1,2 adultos con niño(s),2,5,1,1,2021,23351.76,-1.8878843084017174,43.30865832175865,-2.033693,43.256347
