stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_desc,stop_timezone,wheelchair_boarding,level_id,platform_code
101125-408,408.0,Kale Nagusia - Oztaran,43.260995,-2.017458,,,0,,,,0,,
101125-215,215.0,"Kale Nagusia, 40 - Zumaburu",43.26628,-2.01948,,,0,,,,0,,
101125-409,409.0,"Kale Nagusia, 5",43.269616,-2.019981,,,0,,,,0,,
101125-372,372.0,Donostia Etorbidea - Sasoeta Oriamendi,43.272249,-2.0183,,,0,,,,0,,
101125-375,375.0,Errekalde Hiribidea - Tren Geltokia,43.278536,-2.007045,,,0,,,,0,,
101125-376,376.0,"Taberna-Berri Cincuentenario, A̡orga (Donostia)",43.283394,-2.001334,,,0,,,,0,,
101125-342,342.0,"A̱orga Hiribidea, 59 - A̱orga Ii",43.285716,-1.999139,,,0,,,,0,,
101125-343,343.0,A̱orga Hiribidea - A̱orga Txiki Ii,43.289485,-1.997733,,,0,,,,0,,
101125-202,202.0,Tolosa Hiribidea - Amerika Plaza,43.302278,-2.003675,,,0,,,,0,,
101125-377,377.0,Tolosa Hiribidea - Lorea,43.305021,-2.006343,,,0,,,,0,,
101125-203,203.0,"Tolosa Hiribidea, 77 - Unibertsitateak",43.307182,-2.008416,,,0,,,,0,,
101125-4038,4038.0,"Tolosa Hiribidea, 13 - Magisteritza",43.312275,-2.00699,,,0,,,,0,,
101125-380,380.0,"Zumalakarregi Hiribidea, 11 - Esklabak",43.314931,-2.001779,,,0,,,,0,,
101125-348,348.0,"SAN Martin Kalea, 57",43.315514,-1.987132,,,0,,,,0,,
101125-4270,4270.0,"Urbieta, 28",43.31697,-1.982779,,,0,,,,0,,
101125-382,382.0,"Etxaide Kalea, 3",43.31996,-1.979856,,,0,,,,0,,
101125-260,260.0,"Antso Jakitunaren Hiribidea, 33",43.308197,-1.97951,,,0,,,,0,,
101125-715,715.0,Easo Plaza/Plaza Easo (Donostia),43.313618,-1.98154,,,0,,,,0,,
101125-351,351.0,Begiristain Doktorea - Ospitalea Ii,43.293078,-1.970419,,,0,,,,0,,
101125-3940,3940.0,"Begiristain Doktorea, 218 - Onkologikoa",43.29142,-1.974293,,,0,,,,0,,
101125-3943,3943.0,Miramon Pasealekua - Poliklinika I,43.29059,-1.980088,,,0,,,,0,,
101125-430,430.0,Escaleras,43.270734,-2.044658,,,0,,,,0,,
101125-1944,1944.0,SAN Inazio,43.271591,-2.05348,,,0,,,,0,,
101125-385,385.0,"Zirkuitu Ibilbidea, 12 - Basaundi",43.256834,-2.018437,,,0,,,,0,,
101125-386,386.0,Oria Hiribidea,43.25352,-2.019451,,,0,,,,0,,
101125-433,433.0,Errasti,43.272795,-2.07414,,,0,,,,0,,
101125-370,370.0,"Hipodromo Hiribidea, 4",43.26926,-2.02149,,,0,,,,0,,
101125-363,363.0,Cruce Hipodromo,43.267651,-2.024017,,,0,,,,0,,
101125-364,364.0,"Irigoien Kalea ,16 - Zubieta",43.270425,-2.032574,,,0,,,,0,,
101125-365,365.0,Zubieta Eskolak (Donostia),43.269499,-2.032737,,,0,,,,0,,
101125-447,447.0,Errasti,43.272376,-2.07454,,,0,,,,0,,
101125-448,448.0,Galardi,43.271277,-2.070145,,,0,,,,0,,
101125-451,451.0,Escaleras,43.270629,-2.045017,,,0,,,,0,,
101125-1263,1263.0,Arrapide Pasealekua - Bugati,43.253844,-2.022513,,,0,,,,0,,
101125-7484,7484.0,"Oria Hiribidea, 7 - Eliza",43.253573,-2.019302,,,0,,,,0,,
101125-407,407.0,"Zirkuitu Ibilbidea, 17 -Basaundi",43.256851,-2.018239,,,0,,,,0,,
101125-349,349.0,Miramon Pasealekua -Poliklinika Ii,43.290551,-1.979818,,,0,,,,0,,
101125-1781,1781.0,"Begiristain Doktorea, 121 - Onkologikoa",43.291657,-1.973537,,,0,,,,0,,
101125-350,350.0,"Begiristain Doktorea, 115 - Ospitalea",43.292889,-1.970385,,,0,,,,0,,
101125-366,366.0,Barrio Zubieta (Donostia),43.27058,-2.033853,,,0,,,,0,,
101125-367,367.0,Irigoien Kalea - Zubieta,43.270389,-2.032501,,,0,,,,0,,
101125-368,368.0,Puente Entrada Hipodromo DE Lasarte Donostia,43.267614,-2.023821,,,0,,,,0,,
101125-369,369.0,Hipodromo Hiribidea,43.269213,-2.021331,,,0,,,,0,,
101125-381,381.0,"SAN Martin Kalea, Artzai ONA Eliza Aurrean",43.317439,-1.981945,,,0,,,,0,,
101125-393,393.0,"Karrika Kalea, 2",43.209096,-2.030504,,,0,,,,0,,
101125-396,396.0,"Aita Larramendi Kalea, 19 - Zumea Plaza",43.212752,-2.024179,,,0,,,,0,,
101125-398,398.0,"Kaleberria, 10 - Renfe",43.216451,-2.020809,,,0,,,,0,,
101125-399,399.0,Txistoki Ibilbidea - Eskailerak,43.219092,-2.023155,,,0,,,,0,,
101125-400,400.0,Bazkardo - Donostiarantz,43.220818,-2.024962,,,0,,,,0,,
101125-405,405.0,"Antxisu Bailara, 37",43.248727,-2.020131,,,0,,,,0,,
101125-20,20.0,Oria Hiribidea - Zelaialde,43.252106,-2.0194,,,0,,,,0,,
101125-4397,4397.0,Bazkardo - Gasteizerantz,43.222543,-2.025575,,,0,,,,0,,
101125-395,395.0,"Karrika Kalea, 1",43.209505,-2.029882,,,0,,,,0,,
101125-1429,1429.0,Pedro Mari Ota̱o Plaza,43.199263,-2.073997,,,0,,,,0,,
101125-1273,1273.0,Zizurkilgo Bidegurutzea,43.191378,-2.074374,,,0,,,,0,,
101125-1274,1274.0,"Ernio Bidea, 37",43.191336,-2.063693,,,0,,,,0,,
101125-1266,1266.0,"Ernio Bidea,28, Hirubieta",43.191994,-2.060458,,,0,,,,0,,
101125-1276,1276.0,"Ernio Bidea, 12 Pasus-Enea",43.190828,-2.056686,,,0,,,,0,,
101125-1431,1431.0,Asteasuko Bidegurutzea,43.189346,-2.052721,,,0,,,,0,,
101125-1242,1242.0,Arroa Auzoa,43.181514,-2.054048,,,0,,,,0,,
101125-1243,1243.0,Ibaiondo Bailara,43.175707,-2.057423,,,0,,,,0,,
101125-1244,1244.0,"Kale Nagusia, 6",43.167677,-2.067634,,,0,,,,0,,
101125-971,971.0,"Kale Nagusia, 26",43.164621,-2.069452,,,0,,,,0,,
101125-1253,1253.0,Santa Lutzia,43.147214,-2.068142,,,0,,,,0,,
101125-1255,1255.0,"Zilar Kalea, 1 - Trinketea",43.16725,-2.066078,,,0,,,,0,,
101125-1256,1256.0,Laskibar Bailara,43.173689,-2.059497,,,0,,,,0,,
101125-1427,1427.0,"Kale Berria, 6",43.189517,-2.052694,,,0,,,,0,,
101125-390,390.0,Txistoki Ibilbidea - Aparkalekua,43.218512,-2.022745,,,0,,,,0,,
101125-1238,1238.0,"Kaleberria, 22 - Renfe",43.215758,-2.020857,,,0,,,,0,,
101125-397,397.0,"Aita Larramendi Kalea, 36 - Zumea Plaza",43.212666,-2.024612,,,0,,,,0,,
101125-394,394.0,Sorabilla,43.209558,-2.035063,,,0,,,,0,,
101125-1239,1239.0,"Ubegun Industrialdea, 1",43.19833,-2.040557,,,0,,,,0,,
101125-4303,4303.0,Agaraitz Industrialdea,43.196514,-2.051675,,,0,,,,0,,
101125-1241,1241.0,"Kale Berria, 10",43.189933,-2.052885,,,0,,,,0,,
101125-4398,4398.0,"Kale Nagusia, 72 - Kiroldegia",43.185206,-2.05297,,,0,,,,0,,
101125-1248,1248.0,"Larramendi Kalea,11",43.145612,-2.071536,,,0,,,,0,,
101125-1250,1250.0,"Larramendi Kalea, 1 - Arramele",43.141792,-2.071286,,,0,,,,0,,
101125-4399,4399.0,"Rondilla Kalea, 34- Gorosabel",43.139314,-2.073414,,,0,,,,0,,
101125-1096,1096.0,"SAN Frantzisko Ibilbidea, 1- Eliza",43.136574,-2.074193,,,0,,,,0,,
101125-1140,1140.0,Oria Kalea - Zezen Plaza,43.133382,-2.076946,,,0,,,,0,,
101125-1251,1251.0,"Nafarroa Hiribidea, 1",43.134922,-2.073665,,,0,,,,0,,
101125-937,937.0,"Ibaiondo Kalea, 1",43.136876,-2.071385,,,0,,,,0,,
101125-1252,1252.0,"Larramendi Kalea, 8 - Arramele",43.141962,-2.071198,,,0,,,,0,,
101125-4215,4215.0,Santa Lutzia Auzoa,43.14521,-2.069771,,,0,,,,0,,
101125-913,913.0,"Kale Berria, 66 - Eliza",43.186015,-2.052773,,,0,,,,0,,
101125-1258,1258.0,"Kale Berria, 11",43.189932,-2.052762,,,0,,,,0,,
101125-1259,1259.0,Kale Berria - Burni Zubi,43.193253,-2.053633,,,0,,,,0,,
101125-4101,4101.0,"Gartzia Goldaratz, 1",43.268192,-1.973636,,,0,,,,0,,
101125-4261,4261.0,"Antziola Auzoa, 40",43.272699,-1.977171,,,0,,,,0,,
101125-338,338.0,Galarreta - Frontoia,43.277342,-1.987975,,,0,,,,0,,
101125-1943,1943.0,Urbil - Eroski,43.276013,-2.021444,,,0,,,,0,,
101125-496,496.0,Tajamar Biribilgunea,43.270055,-2.019789,,,0,,,,0,,
101125-243,243.0,Learritza Pasealekua,43.264719,-2.05435,,,0,,,,0,,
101125-244,244.0,Santu-Enea Auzoa,43.266262,-2.055891,,,0,,,,0,,
101125-464,464.0,Atailu Industrialdea - Biribilgunea,43.267845,-2.052404,,,0,,,,0,,
101125-1945,1945.0,"SAN Inazio Kalea, 3",43.271468,-2.050586,,,0,,,,0,,
101125-463,463.0,Atailu Industrialdea,43.267917,-2.052403,,,0,,,,0,,
101125-256,256.0,"Santu-Enea Auzoa, 38",43.266192,-2.056077,,,0,,,,0,,
101125-266,266.0,Learritza Pasealekua,43.271097,-2.035324,,,0,,,,0,,
101125-4560,4560.0,Instituto,43.268712,-2.016422,,,0,,,,0,,
101125-307,307.0,Galarreta - Parke Teknologikoa,43.276972,-1.986798,,,0,,,,0,,
101125-278,278.0,"Marieluts Auzoa, 6",43.270307,-1.980612,,,0,,,,0,,
101125-237,237.0,Zinkoenea Plaza,43.267885,-1.973555,,,0,,,,0,,
101125-392,392.0,Begiristain Doktorea- Ospitaleko Aparkalekua,43.292603,-1.97161,,,0,,,,0,,
101121-4323,,Vi-Estacion De Autobuses,42.859325,-2.684342,14.0,,0,,,,0,,
101121-4324,,Durana,42.890694,-2.639935,12.0,,0,,,,0,,
101121-4325,,Carretera A-3002. Direccion Arrasate-Mondragon,42.905329,-2.629143,12.0,,0,,,,0,,
101121-4326,,C/ Urrundia. Direccion Arrasate-Mondragon,42.916639,-2.618134,12.0,,0,,,,0,,
101121-4327,,Carretera A-3002 Direccion Arrasate.Vitoria,42.937802,-2.607623,12.0,,0,,,,0,,
101121-194,,Santiagolarra,42.954734,-2.600454,12.0,,0,,,,0,,
101121-4328,,Carretera A-3002. Direccion Eskoriatza,42.958473,-2.590866,12.0,,0,,,,0,,
101121-4321,,Marisa,42.97792,-2.565424,7.0,,0,,,,0,,
101121-865,,Eduardo Gorosarri,43.018563,-2.525572,7.0,,0,,,,0,,
101121-4889,,Almen,43.024912,-2.512734,7.0,,0,,,,0,,
101121-4391,,Azbe,43.032984,-2.503194,7.0,,0,,,,0,,
101121-4330,,Zalduspe Ospitalea,43.063028,-2.481509,7.0,,0,,,,0,,
101121-4331,,Musakola/Zigarrola,43.067656,-2.477503,7.0,,0,,,,0,,
101121-884,,San Prudentzio,43.080105,-2.447865,7.0,,0,,,,0,,
101121-4312,,Ibargarai Geltokia,43.113402,-2.416285,7.0,,0,,,,0,,
101121-4428,,Osintxu,43.156602,-2.405001,7.0,,0,,,,0,,
101121-1552,,Zubi Nagusia,43.174092,-2.414132,8.0,,0,,,,0,,
101121-4316,,Urkizu,43.186929,-2.462962,8.0,,0,,,,0,,
101121-901,,Estacion,43.184015,-2.47533,8.0,,0,,,,0,,
101121-4447,,Intxaurtxueta,43.020391,-2.523398,7.0,,0,,,,0,,
101121-861,,Eduardo Gorosarri,43.018555,-2.525805,7.0,,0,,,,0,,
101121-4320,,Aingeru Guarda,43.015006,-2.531981,7.0,,0,,,,0,,
101121-2006,,Mazmela Dir Leintz,43.013715,-2.542323,7.0,,0,,,,0,,
101121-9938,,Kuatruena Dir Eskoriatza,43.00954,-2.547642,7.0,,0,,,,0,,
101121-2008,,Marulanda Dir Leintz,42.995037,-2.567475,7.0,,0,,,,0,,
101121-4431,,Leintz Herria,42.986653,-2.569619,7.0,,0,,,,0,,
101121-1438,,Gatzagain,42.977843,-2.571226,7.0,,0,,,,0,,
101121-60,,Aeropuerto Bilbao,43.305589,-2.905891,90.0,,0,,,,0,,
101121-610,,I̱urritza,43.282929,-2.160891,3.0,,0,,,,0,,
101121-2862,,Donostiako Autobus Geltokia,43.316563,-1.977533,1.0,,0,,,,0,,
101121-850,,Unzaga,43.184004,-2.473054,8.0,,0,,,,0,,
101121-999,,Bidebarrieta,43.18564,-2.464598,8.0,,0,,,,0,,
101121-1000,,Azitain,43.189817,-2.454802,8.0,,0,,,,0,,
101121-4442,,Malzaga,43.192803,-2.437312,8.0,,0,,,,0,,
101121-1455,,Sagar-Erreka,43.177817,-2.420679,8.0,,0,,,,0,,
101121-6047,,Ezozia,43.177583,-2.41544,8.0,,0,,,,0,,
101121-4459,,Estazi̱o,43.174901,-2.412168,8.0,,0,,,,0,,
101121-4439,,Txurruken,43.170225,-2.408141,8.0,,0,,,,0,,
101121-854,,Osintxu,43.156568,-2.405407,7.0,,0,,,,0,,
101121-1458,,Toki Eder,43.149919,-2.411707,7.0,,0,,,,0,,
101121-5367,,Mekolalde,43.14381,-2.414409,7.0,,0,,,,0,,
101121-4437,,Zubiberri,43.131136,-2.422325,7.0,,0,,,,0,,
101121-4436,,Madina Amillaga,43.122913,-2.422144,7.0,,0,,,,0,,
101121-4435,,Santa Marina 4,43.119559,-2.415944,7.0,,0,,,,0,,
101121-4873,,Ozaeta,43.107449,-2.419684,7.0,,0,,,,0,,
101121-4874,,Ola,43.09447,-2.433433,7.0,,0,,,,0,,
101121-4444,,Garratz,43.075604,-2.467129,7.0,,0,,,,0,,
101121-4445,,Eroski,43.071852,-2.471596,7.0,,0,,,,0,,
101121-4318,,Musakola/Zigarrola,43.067845,-2.477464,7.0,,0,,,,0,,
101121-5528,,Erdigunea - Centro,43.06426,-2.489358,7.0,,0,,,,0,,
101121-4446,,San Andres,43.060773,-2.492728,7.0,,0,,,,0,,
101121-6101,,Renfe Geltokia,43.087054,-2.320214,5.0,,0,,,,0,,
101121-923,,Deskarga,43.088039,-2.350156,7.0,,0,,,,0,,
101121-4393,,Sagasti Auzoa,43.096732,-2.379973,7.0,,0,,,,0,,
101121-2476,,"Ibargarai, 37",43.113175,-2.415906,7.0,,0,,,,0,,
101121-6900,,Pagatza,43.137797,-2.492202,7.0,,0,,,,0,,
101121-926,,Enparantza,43.136506,-2.487417,7.0,,0,,,,0,,
101121-928,,Ubera,43.134353,-2.45982,7.0,,0,,,,0,,
101121-498,,San Juan,43.132655,-2.445536,7.0,,0,,,,0,,
101121-4639,,Instituto,43.120984,-2.421609,7.0,,0,,,,0,,
101121-930,,Deskarga,43.088011,-2.350034,7.0,,0,,,,0,,
101121-4448,,Intxaurtxueta,43.020373,-2.5233,7.0,,0,,,,0,,
101121-878,,Araba Ibilbidea 31 / Portasol,43.028819,-2.506296,7.0,,0,,,,0,,
101121-5182,,Nafarroa Kalea,43.031657,-2.506458,7.0,,0,,,,0,,
101121-5180,,Lausitta,43.037084,-2.505763,7.0,,0,,,,0,,
101121-895,,Ulgor,43.054016,-2.494024,7.0,,0,,,,0,,
101121-4449,,San Andres,43.060834,-2.492457,7.0,,0,,,,0,,
101121-5529,,Kontzezino,43.063575,-2.491145,7.0,,0,,,,0,,
101121-4450,,Eroski,43.071154,-2.472486,7.0,,0,,,,0,,
101121-4451,,Kataide,43.074412,-2.46628,7.0,,0,,,,0,,
101121-4443,,Ola,43.094011,-2.433536,7.0,,0,,,,0,,
101121-898,,Ozaeta,43.106887,-2.420746,7.0,,0,,,,0,,
101121-188,,"Ibargarai, 9",43.116054,-2.415559,7.0,,0,,,,0,,
101121-4452,,Santa Marina Azoka,43.118586,-2.41583,7.0,,0,,,,0,,
101121-3237,,Madina/Itv,43.122779,-2.422293,7.0,,0,,,,0,,
101121-3682,,Zubiberri,43.130873,-2.422118,7.0,,0,,,,0,,
101121-4438,,Mekolalde,43.14303,-2.415007,7.0,,0,,,,0,,
101121-1467,,Toki Eder,43.149838,-2.411535,7.0,,0,,,,0,,
101121-5276,,Rekalde 25,43.171419,-2.409261,8.0,,0,,,,0,,
101121-1554,,Baltegieta,43.177043,-2.415445,8.0,,0,,,,0,,
101121-4440,,Maltzaga,43.192956,-2.43736,8.0,,0,,,,0,,
101121-993,,Azitain,43.189864,-2.455331,8.0,,0,,,,0,,
101121-4441,,Errebal,43.185746,-2.467981,8.0,,0,,,,0,,
101121-4314,,Bilboko Autobus Geltokia,43.260188,-2.949182,13.0,,0,,,,0,,
101121-942,,Zumarragako Ospitalea,43.083366,-2.313314,5.0,,0,,,,0,,
101121-4374,,Izazpe,43.084848,-2.31713,5.0,,0,,,,0,,
101121-3414,,Eizaga,43.086643,-2.310169,5.0,,0,,,,0,,
101121-4375,,Correos,43.088928,-2.312846,5.0,,0,,,,0,,
101121-6049,,Labeaga 14,43.091438,-2.315423,5.0,,0,,,,0,,
101121-4376,,Ipi̱arrieta/Berriki,43.088416,-2.320567,5.0,,0,,,,0,,
101121-946,,Poblado Aparicio,43.078904,-2.326102,5.0,,0,,,,0,,
101121-4377,,Mendiazpe,43.076895,-2.327512,5.0,,0,,,,0,,
101121-4378,,Iturgorri,43.072526,-2.330311,5.0,,0,,,,0,,
101121-955,,Zurrategi,43.069082,-2.332719,5.0,,0,,,,0,,
101121-957,,Bereziartua,43.060749,-2.333547,5.0,,0,,,,0,,
101121-958,,Urola Industrialdea,43.054883,-2.331461,5.0,,0,,,,0,,
101121-4633,,Saturnino Telleria,43.052156,-2.331614,5.0,,0,,,,0,,
101121-4638,,Aitzgorri Kalea,43.048198,-2.335487,5.0,,0,,,,0,,
101121-507,,Patrizio Etxeberria Kalea,43.052191,-2.333087,5.0,,0,,,,0,,
101121-1963,,Santikrutz,43.05559,-2.333787,5.0,,0,,,,0,,
101121-959,,Laubide,43.056981,-2.336006,5.0,,0,,,,0,,
101121-1962,,San Ignazio,43.054897,-2.335341,5.0,,0,,,,0,,
101121-962,,Urola Industrialdea,43.055126,-2.331323,5.0,,0,,,,0,,
101121-963,,Zaldu,43.060739,-2.333399,5.0,,0,,,,0,,
101121-964,,Zurrategi,43.0691,-2.332621,5.0,,0,,,,0,,
101121-510,,Iturgorri,43.072483,-2.33057,5.0,,0,,,,0,,
101121-945,,Poblado Aparicio,43.078779,-2.326275,5.0,,0,,,,0,,
101121-4380,,Elizalde,43.089166,-2.313384,5.0,,0,,,,0,,
101121-7738,,San Gregorio 4,43.086729,-2.311003,5.0,,0,,,,0,,
101121-531,,Izazpi,43.084777,-2.317401,5.0,,0,,,,0,,
101121-3820,,Argixao 6,43.083693,-2.315239,5.0,,0,,,,0,,
101121-2446,,Unzaga Lateral,43.184476,-2.473751,8.0,,0,,,,0,,
101121-1437,,Azbe,43.033308,-2.503155,7.0,,0,,,,0,,
101121-4888,,"Ederlan, Gi-627 Pk 29.6",43.025047,-2.512819,7.0,,0,,,,0,,
101121-4329,,Marisa,42.974373,-2.575211,7.0,,0,,,,0,,
101121-4386,,Landa,42.958896,-2.590802,12.0,,0,,,,0,,
101121-195,,Santiagolarra,42.954743,-2.60065,12.0,,0,,,,0,,
101121-4387,,Carretera A-3002 Direccion Vitoria-Gasteiz,42.93938,-2.605554,12.0,,0,,,,0,,
101121-4388,,C/ Urrundia. Direccion Vitoria-Gasteiz,42.916739,-2.618318,12.0,,0,,,,0,,
101121-4389,,Mendibil,42.905491,-2.629216,12.0,,0,,,,0,,
101121-4390,,Durana,42.890361,-2.640035,12.0,,0,,,,0,,
101121-4392,,Posta Geltokia,43.034248,-2.416066,7.0,,0,,,,0,,
101121-4544,,Zubillaga,43.061411,-2.44037,7.0,,0,,,,0,,
101121-4333,,Aingeru Guarda,43.014172,-2.532883,7.0,,0,,,,0,,
101121-4693,,Mugarrieta Dir Arrasate,43.048013,-2.498898,7.0,,0,,,,0,,
101121-1124,,"San Juan Kalea, 07",43.185244,-2.472391,8.0,,0,,,,0,,
101121-1408,,Unibertsitatea,43.180165,-2.48816,8.0,,0,,,,0,,
101121-6027,,"Baldespina Markesa, 14",43.186231,-2.503885,8.0,,0,,,,0,,
101121-4455,,Hormigones/Oxi̱urdin,43.068771,-2.44664,7.0,,0,,,,0,,
101121-874,,Zubillaga,43.061521,-2.440676,7.0,,0,,,,0,,
101121-4454,,Magdalena,43.052326,-2.431452,7.0,,0,,,,0,,
101121-5677,,Goribar Auzoa 7,43.043681,-2.422336,7.0,,0,,,,0,,
101121-7158,,Aita Lizarralde,43.030831,-2.408353,7.0,,0,,,,0,,
101121-4457,,San Lorentzo/Olakua,43.032213,-2.403945,7.0,,0,,,,0,,
101121-9,,Olabarrieta,43.02779,-2.389873,7.0,,0,,,,0,,
101121-1430,,Biku̱a Industrialdea,43.03876,-2.336866,5.0,,0,,,,0,,
101121-881,,Ulgor,43.053837,-2.494332,7.0,,0,,,,0,,
101121-4692,,Mugarrieta Dir Aretxabaleta,43.04828,-2.49827,7.0,,0,,,,0,,
101121-5179,,Kuartela,43.038643,-2.504118,7.0,,0,,,,0,,
101121-5181,,Errekabarren 8/Osasun Zentroa,43.035566,-2.504732,7.0,,0,,,,0,,
101121-875,,Portasol,43.029135,-2.506367,7.0,,0,,,,0,,
101121-4315,,Txankakoa,43.215573,-2.417035,8.0,,0,,,,0,,
101121-1439,,Gatzagain,42.977698,-2.571092,7.0,,0,,,,0,,
101121-4432,,Leintz Herria,42.987315,-2.568547,7.0,,0,,,,0,,
101121-2007,,Marulanda Dir Eskoriatza,42.994857,-2.567366,7.0,,0,,,,0,,
101121-1624,,Marin,43.001995,-2.58621,7.0,,0,,,,0,,
101121-2005,,Mazmela Dir Eskoriatza,43.013661,-2.542274,7.0,,0,,,,0,,
101121-5274,,Biku̱a Industrialdea,43.038715,-2.336903,5.0,,0,,,,0,,
101121-8,,Olabarrieta,43.028017,-2.390202,7.0,,0,,,,0,,
101121-4434,,San Lorentzo/Olakua 2,43.032017,-2.404266,7.0,,0,,,,0,,
101121-4453,,Kale Goiena,43.031514,-2.407966,7.0,,0,,,,0,,
101121-5669,,Goribar Auzoa 7 Parean,43.043752,-2.422077,7.0,,0,,,,0,,
101121-5414,,Magdalena,43.052325,-2.431329,7.0,,0,,,,0,,
101121-4347,,San Pio X,43.130502,-2.545473,11.0,,0,,,,0,,
101121-5183,,Estacion De Autobuses,43.131631,-2.584046,11.0,,0,,,,0,,
101121-4349,,Erdigunea,43.150454,-2.610643,11.0,,0,,,,0,,
101121-4350,,Magdalena,43.171779,-2.632961,11.0,,0,,,,0,,
101121-1970,,San Juan,43.129078,-2.434061,7.0,,0,,,,0,,
101121-927,,Ubera,43.134434,-2.459795,7.0,,0,,,,0,,
101121-4351,,Magdalena,43.171626,-2.632974,11.0,,0,,,,0,,
101121-4352,,Erdialde,43.149931,-2.610376,11.0,,0,,,,0,,
101121-4348,,Atxondoko Autobus Geltokia,43.131624,-2.584685,11.0,,0,,,,0,,
101121-4353,,San Pio X,43.130629,-2.545558,11.0,,0,,,,0,,
101121-4417,,Urazandi,43.216303,-2.413642,8.0,,0,,,,0,,
101121-212,,Kale Nagusia 40 - Zumaburu,43.266091,-2.019533,1.0,,0,,,,0,,
101121-4397,,Bazkardo - Gasteizerantz,43.2206,-2.024781,1.0,,0,,,,0,,
101121-4398,,Kale Nagusia 72 - Kiroldegia,43.185206,-2.05297,2.0,,0,,,,0,,
101121-4399,,Rondilla Kalea 34- Gorosabel,43.139234,-2.073489,2.0,,0,,,,0,,
101121-915,,"Bidebitarte, 17",43.100903,-2.098534,2.0,,0,,,,0,,
101121-916,,"San Lorentzo, 18 - Polikiroldegia",43.09381,-2.125547,2.0,,0,,,,0,,
101121-1220,,Legorreta,43.085886,-2.150673,5.0,,0,,,,0,,
101121-1222,,Itsasondoko Plaza,43.067558,-2.164964,5.0,,0,,,,0,,
101121-4400,,Erdigunea,43.054098,-2.180263,5.0,,0,,,,0,,
101121-4401,,Tren Geltokia,43.046348,-2.202392,5.0,,0,,,,0,,
101121-4402,,"Zumarralde,2",43.043786,-2.256421,5.0,,0,,,,0,,
101121-4403,,Santa Luzia,43.062609,-2.273767,5.0,,0,,,,0,,
101121-4404,,Marmoles Ipi̱arrieta,43.077169,-2.292291,5.0,,0,,,,0,,
101121-1553,,"Bizkaia Etorbidea, 11",43.185724,-2.50336,8.0,,0,,,,0,,
101121-6029,,Unibertsitatea,43.178994,-2.490261,8.0,,0,,,,0,,
101121-4394,,Marquesina. Direccion Beasain,43.075519,-2.290505,5.0,,0,,,,0,,
101121-4395,,Santa Luzia,43.067851,-2.282585,5.0,,0,,,,0,,
101121-4396,,San Andres,43.042635,-2.25253,5.0,,0,,,,0,,
101121-934,,Geltokia,43.052838,-2.179138,5.0,,0,,,,0,,
101121-1230,,Itsasondoko Plaza,43.067431,-2.164905,5.0,,0,,,,0,,
101121-1233,,Legorreta,43.085794,-2.150502,5.0,,0,,,,0,,
101121-2662,,"San Lorentzo, 12",43.094593,-2.124332,2.0,,0,,,,0,,
